"","V1","V2","V3","V4"
"343",NA,10000,28000,30000
"344",NA,28000,24625,16000
"345",NA,8000,20400,21000
"346",NA,13750,9525,10000
"347",NA,3000,7000,9600
"348",NA,13000,3000,12875
"349",NA,13000,9000,12000
"350",NA,18000,10625,29975
"351",NA,6000,13000,8725
"352",NA,4000,13000,5000
"353",NA,10000,35000,6400
"354",NA,7500,12500,15000
"355",NA,15000,11775,20000
"356",NA,16825,2400,3500
"357",NA,7200,16800,7775
"358",NA,30000,16000,18000
"359",NA,16325,13800,16000
"360",NA,24000,21000,8000
"361",NA,4875,18825,11425
"362",NA,12000,6250,30000
"363",NA,30000,12000,4400
"364",NA,5000,29000,12000
"365",NA,6450,15000,10100
"366",NA,6000,22950,35000
"367",NA,11200,35000,14000
"368",NA,6000,12000,20000
"369",NA,18200,1500,6400
"370",NA,10000,25000,28000
"371",NA,10000,35000,10300
"372",NA,18000,25450,14000
"373",NA,14000,12000,10000
"374",NA,3000,25000,11875
"375",NA,25000,10000,8075
"376",NA,8400,9600,4800
"377",NA,13200,5000,25000
"378",NA,21600,20000,12000
"379",NA,35000,9450,14400
"380",NA,8000,35000,35000
"381",NA,6000,10125,35000
"382",NA,7000,30000,22000
"383",NA,10000,35000,10000
"384",NA,12000,13000,18000
"385",NA,8000,20000,30000
"386",NA,5000,35000,20000
"387",NA,15000,6000,19600
"388",NA,10000,5000,10000
"389",NA,10400,35000,34900
"390",NA,4000,15000,10300
"391",NA,11750,10000,14000
"392",NA,25050,10000,7200
"393",NA,5600,5000,28000
"394",NA,20000,8000,15125
"395",NA,6050,20000,25200
"396",NA,16500,24375,28000
"397",NA,22675,22975,4575
"398",NA,14400,20000,20000
"399",NA,14000,15000,35000
"400",NA,30000,14000,20525
"401",NA,14575,5000,15000
"402",NA,6000,9600,20000
"403",NA,6500,24000,9750
"404",NA,11400,22000,7000
"405",NA,6500,18175,2650
"406",NA,20000,10500,10000
"407",NA,10000,16150,27000
"408",NA,13000,18000,10800
"409",NA,7000,21000,30000
"410",NA,25000,15000,22000
"411",NA,12000,7800,6425
"412",NA,22400,6000,24000
"413",NA,6000,7500,19000
"414",NA,8500,20000,14000
"415",NA,8000,12000,12000
"416",NA,12000,15600,14000
"417",NA,25000,18000,10000
"418",NA,24000,21000,35000
"419",NA,12800,3600,5000
"420",NA,11000,7350,12000
"421",NA,25000,9000,5500
"422",NA,12500,16000,6000
"423",NA,19750,27350,4800
"424",NA,5400,14000,28000
"425",NA,10000,6000,3250
"426",NA,18250,7000,9600
"427",NA,15000,6400,10000
"428",NA,6000,11200,19800
"429",NA,20000,30000,18000
"430",NA,32000,12000,17000
"431",NA,22000,35000,15000
"432",NA,14000,6400,11000
"433",NA,3000,6000,15000
"434",NA,15000,8000,8875
"435",NA,14250,14100,10000
"436",NA,3000,12000,12000
"437",NA,13000,33600,14300
"438",NA,10000,10000,14100
"439",NA,10000,30625,5200
"440",NA,8000,1800,8400
"441",NA,9000,30000,12000
"442",NA,11200,22750,3500
"443",NA,3200,20000,14000
"444",NA,35000,26400,23500
"445",NA,14500,22225,4500
"446",NA,35000,3000,4500
"447",NA,10000,23000,28000
"448",NA,10000,9600,5100
"449",NA,28000,10000,10000
"450",NA,5000,4000,35000
"451",NA,4000,11200,15000
"452",NA,7200,14000,4700
"453",NA,8400,10000,5000
"454",NA,10000,14000,14000
"455",NA,18000,21600,20800
"456",NA,5000,20000,22925
