date,title,intro,author,url
1652965451,gerhard schroeder altkanzler verliert teil seiner sonderrechte,Am Donnerstag hat der Haushaltsausschuss des Bundestages für eine Streichung der Sonderrechte von Altkanzler Gerhard Schröder votiert. Dieser will das Vorgehen nun juristisch überprüfen lassen.,,https://www.manager-magazin.de/politik/deutschland/gerhard-schroeder-altkanzler-verliert-teil-seiner-sonderrechte-a-13182114-5741-411c-b435-b185183dd54f
1652822880,gerhard schroeder die ampel will schroeders privilegien streichen,Die Regierungskoalition macht ernst: Noch in dieser Woche soll Gerhard Schröder wegen seiner Russland-Jobs die Amtsausstattung als Altkanzler verlieren. Wird der Sozialdemokrat die Entscheidung anfechten?,['Veit Medick'],https://www.spiegel.de/politik/deutschland/gerhard-schroeder-die-ampel-will-schroeders-privilegien-streichen-a-acd170fa-5e01-45c5-8c72-4ef8782debc8
1652799600,angela merkel haelt laudatio auf langjaehrigen dgb chef reiner hoffmann,Im Dezember hatte sich Angela Merkel nach dem Ende ihrer langen Amtszeit aus der Öffentlichkeit zurückgezogen. Anfang Juni soll es nach SPIEGEL-Informationen nun wieder einen Auftritt geben.,['Florian Gathmann'],https://www.spiegel.de/politik/deutschland/angela-merkel-haelt-laudatio-auf-langjaehrigen-dgb-chef-reiner-hoffmann-a-ccfaedf4-297f-44b6-9323-c7d0f7fab507
1652725243,friedrich merz und die cdu nach der nrw wahl laeuft fuer den parteichef,"Triumph in Schleswig-Holstein, Sieg in NRW – die CDU feiert nach den jüngsten Wahlen ihr Comeback, Friedrich Merz wähnt die Partei »zurück auf Platz eins«. Aber welchen Anteil hat der Vorsitzende am Erfolg?",['Florian Gathmann'],https://www.spiegel.de/politik/deutschland/friedrich-merz-und-die-cdu-nach-der-nrw-wahl-laeuft-fuer-den-parteichef-a-72a97240-d950-4f3d-b946-72124fa11ee4
1652711580,zeitenwende rueckwaerts hoert auf die boomer kolumne,"Wenn die Welt in die Achtzigerjahre und den Kalten Krieg zurückfällt, sind plötzlich die wieder Avantgarde, die sich da auskennen: wir Boomer.",['Nikolaus Blome'],https://www.spiegel.de/politik/deutschland/zeitenwende-rueckwaerts-hoert-auf-die-boomer-kolumne-a-835e482e-12f0-47b9-a240-4d17121cb23c
1652465880,gerhard schroeder wie macht man aus dem altkanzler bloss herrn schroeder,"Büro, Fahrer, Mitarbeiter – der Bundestag will Gerhard Schröder seine Privilegien wegnehmen. Vor allem die SPD-Führung versucht, glaubhaft Distanz zu zeigen. Doch die Operation ist komplizierter als gedacht.","['Veit Medick', 'Christian Reiermann']",https://www.spiegel.de/politik/deutschland/gerhard-schroeder-wie-macht-man-aus-dem-altkanzler-bloss-herrn-schroeder-a-4e6ee8e9-9754-42ff-8c33-c7289df27b64
1652450040,fdp und nrw wahl christian lindners schwieriges heimspiel,Parteichef Lindner legt sich im Wahlkampfendspurt für seinen Heimatverband mächtig ins Zeug. Doch nach dem Schleswig-Holstein-Dämpfer drohen der FDP auch in NRW herbe Verluste. Woran liegt das?,['Severin Weiland'],https://www.spiegel.de/politik/deutschland/fdp-und-nrw-wahl-christian-lindners-schwieriges-heimspiel-a-fe0ff016-46e0-494d-883d-734dec439b9a
1652439600,passionsspiele oberammergau eine leidensgeschichte aus der provinz,"Ein Muslim als Judas, geflüchtete Kinder auf der Bühne und ein Chef, der mit der Kirche hadert – in Oberammergau dürfen sie endlich wieder die Passionsspiele aufführen. Eine Leidensgeschichte aus der Provinz.",['Katja Thimm'],https://www.spiegel.de/panorama/gesellschaft/passionsspiele-oberammergau-eine-leidensgeschichte-aus-der-provinz-a-1c2b0bf7-f013-40f8-929a-068613ff8c94
1652439600,jean luc melenchon dieser linksradikale will premierminister von frankreich werden,"Linksradikaler, Deutschlandhasser, EU-Gegner: Jean-Luc Mélenchon tritt mit einem Bündnis aus Kommunisten und Grünen zur Parlamentswahl an. Sein Ziel ist der Bruch mit dem System.",['Britta Sandberg'],https://www.spiegel.de/ausland/jean-luc-melenchon-dieser-linksradikale-will-premierminister-von-frankreich-werden-a-0c281f36-5565-483f-8447-2b5802d8591f
1652439600,briefe,"Russlands stockender Angriffskrieg in der Ukraine, der Kampf von Umweltschützern gegen Schottergärten und die Probleme beim schnellen Ausbau der erneuerbaren Energie – das waren die Themen, zu denen wir in der vergangenen Woche die meisten Zuschriften erhalten haben.",,https://www.spiegel.de/community/briefe-a-f9762ac8-2712-4d85-bb3d-2a02f22dde11
